,PORT_BEGIN,PORT_END,NUM_PORT
0,万州,泉州,77
1,万州,深圳（大铲湾）,1
2,万州,湛江,50
3,万州,营口,22
4,万州,虎门,1
5,三埠,万州,3
6,三埠,乍浦,1
7,三埠,九江（江西）,1
8,三埠,南通,2
9,三埠,厦门,2
10,三埠,合肥,9
11,三埠,唐山,12
12,三埠,太仓,10
13,三埠,如皋,1
14,三埠,宁波,43
15,三埠,安庆,3
16,三埠,小铲滩,18
17,三埠,徐州,2
18,三埠,扬州,3
19,三埠,新港,316
20,三埠,日照,104
21,三埠,泉州,7
22,三埠,洋浦港,72
23,三埠,海口,92
24,三埠,福清,1
25,三埠,营口,144
26,三埠,连云港,117
27,三埠,重庆,46
28,三埠,锦州,9
29,三埠,青岛,4
30,三埠,黄骅,1
31,三水,南京,2
32,三水,合肥,1
33,三水,唐山,33
34,三水,大连,5
35,三水,宁波,26
36,三水,安庆,1
37,三水,小铲滩,3
38,三水,广利港,1
39,三水,新港,68
40,三水,日照,7
41,三水,池州,1
42,三水,泉州,11
43,三水,泰州,1
44,三水,洋浦港,1
45,三水,海口,29
46,三水,海安,4
47,三水,烟台,9
48,三水,福清,1
49,三水,秦皇岛,27
50,三水,营口,105
51,三水,连云港,74
52,三水,重庆,11
53,三水,钦州,1
54,三水,锦州,32
55,三水,防城,441
56,三水,青岛,5
57,上海,三水,8
58,上海,中山,1
59,上海,云浮,8
60,上海,厦门,77
61,上海,台山,2
62,上海,大连,1
63,上海,小塘,1
64,上海,小榄,2
65,上海,小铲滩,7
66,上海,惠州,3
67,上海,新港,23
68,上海,日照,108
69,上海,汕头,10
70,上海,泉州,25
71,上海,海口,4
72,上海,深圳（大铲湾）,9
73,上海,湛江,2
74,上海,漳州,2
75,上海,烟台,644
76,上海,珠海（高栏）,10
77,上海,石龙,2
78,上海,福清,6
79,上海,营口,144
80,上海,虎门,1
81,上海,贵港,5
82,上海,锦州,9
83,上海,青岛,3
84,上海,黄埔旧港,189
85,东江仓,乍浦,70
86,东江仓,宁波,3
87,东江仓,海口,32
88,东江仓,温州,1
89,东江仓,营口,1
90,东莞海腾,秦皇岛,6
91,东莞海腾,连云港,3
92,中山,上海,14
93,中山,南京,4
94,中山,唐山,1
95,中山,外沙,1
96,中山,太仓,9
97,中山,宁波,8
98,中山,小铲滩,3
99,中山,张家港,2
100,中山,新港,165
101,中山,曹妃甸,20
102,中山,洋浦港,1
103,中山,海口,6
104,中山,烟台,7
105,中山,秦皇岛,44
106,中山,营口,33
107,中山,连云港,21
108,中山,锦州,2
109,中山,防城,148
110,丹东,上海,4
111,丹东,东江仓,2
112,丹东,云浮,1
113,丹东,南昌,1
114,丹东,南沙,4
115,丹东,博罗,2
116,丹东,厦门,47
117,丹东,双水小冈,428
118,丹东,嘉兴,15
119,丹东,四会永泰,14
120,丹东,宁波,3
121,丹东,安庆,2
122,丹东,宜昌,2
123,丹东,小塘西,1
124,丹东,小铲滩,2
125,丹东,岳阳,14
126,丹东,徐州,4
127,丹东,德清,10
128,丹东,成都,4
129,丹东,新会新港,13
130,丹东,昆明,2
131,丹东,武林,2
132,丹东,武汉,3
133,丹东,汕头,161
134,丹东,泉州,271
135,丹东,泰州,89
136,丹东,泸州,2
137,丹东,海口,12
138,丹东,海安,42
139,丹东,深圳（大铲湾）,1
140,丹东,清远清新,8
141,丹东,湛江,23
142,丹东,漳州,7
143,丹东,石龙,2
144,丹东,福清,52
145,丹东,肇庆（三榕）,2
146,丹东,芜湖,1
147,丹东,花都巴江,6
148,丹东,花都（炭步）,1
149,丹东,茂名水东,4
150,丹东,虎门,2
151,丹东,贵港,11
152,丹东,重庆,4
153,丹东,钦州,14
154,丹东,长沙,59
155,丹东,阳江,4
156,丹东,青岛,641
157,丹东,马尾,51
158,丹东,黄埔旧港,2
159,乍浦,三水,3
160,乍浦,中山,5
161,乍浦,乐从,5
162,乍浦,九江（顺德）,1
163,乍浦,勒流,6
164,乍浦,南沙,24
165,乍浦,博罗,5
166,乍浦,厦门,80
167,乍浦,台山,6
168,乍浦,大连,5
169,乍浦,小榄,3
170,乍浦,小铲滩,13
171,乍浦,惠州,3
172,乍浦,新会新港,43
173,乍浦,新沙,101
174,乍浦,新港,13
175,乍浦,汕头,15
176,乍浦,泉州,4
177,乍浦,海口,66
178,乍浦,深圳（大铲湾）,1
179,乍浦,湛江,40
180,乍浦,珠海（高栏）,6
181,乍浦,花都（炭步）,1
182,乍浦,茂名水东,8
183,乍浦,营口,39
184,乍浦,钦州,24
185,乍浦,锦州,1
186,乍浦,防城,61
187,乍浦,顺德新港,12
188,乍浦,鱼珠,2
189,乍浦,鸦岗,1
190,乍浦,龙通,2
191,乐从,大连,1
192,乐从,新港,24
193,乐从,海口,1
194,乐从,营口,1083
195,乐平,南通,2
196,乐平,大连,3
197,乐平,宁波,7
198,乐平,小铲滩,8
199,乐平,常州,1
200,乐平,新港,18
201,乐平,海口,1
202,乐平,烟台,1
203,乐平,荆州,3
204,乐平,营口,9
205,乐平,连云港,12
206,乐平,锦州,8
207,乐平,防城,1
208,九江（江西）,上海,1
209,九江（江西）,中山,48
210,九江（江西）,丹东,1
211,九江（江西）,云浮,10
212,九江（江西）,厦门,4
213,九江（江西）,大连,12
214,九江（江西）,小铲滩,22
215,九江（江西）,新港,18
216,九江（江西）,泉州,20
217,九江（江西）,海口,15
218,九江（江西）,福清,47
219,九江（江西）,营口,74
220,九江（江西）,锦州,5
221,九江（江西）,青岛,1
222,九江（江西）,马尾,1
223,云浮,万州,2
224,云浮,三亚,198
225,云浮,大连,3
226,云浮,宁波,33
227,云浮,安庆,4
228,云浮,小铲滩,35
229,云浮,成都,18
230,云浮,新港,204
231,云浮,日照,1
232,云浮,泉州,35
233,云浮,洋浦港,37
234,云浮,海口,157
235,云浮,烟台,10
236,云浮,营口,339
237,云浮,连云港,15
238,云浮,重庆,34
239,云浮,锦州,2
240,云浮,黄骅,5
241,勒流,海口,5
242,北海,上海,2
243,北海,南京,1
244,北海,南昌,3
245,北海,厦门,14
246,北海,嘉兴,2
247,北海,太仓,50
248,北海,宁波,1
