,PORT_BEGIN,PORT_END,NUM_PORT
3367,营口,宁波,5865
1858,日照,铁山,5116
3733,钦州,宁波,4979
1710,新港,南沙,4901
3420,营口,福清,4828
3349,营口,南沙,4549
3440,营口,钦州,3127
101,上海,烟台,2673
2206,泉州,营口,2449
3451,营口,马尾,2391
3409,营口,深圳（大铲湾）,2303
3333,营口,上海,2282
3405,营口,海口,2253
4043,防城,营口,2234
3399,营口,汕头,2042
4374,黄骅,三埠,1926
3402,营口,泉州,1889
1789,新港,鱼珠,1875
92,上海,武汉,1854
1751,新港,深圳（大铲湾）,1849
3413,营口,漳州,1747
772,唐山,顺乐,1687
4405,黄骅,常州,1641
1714,新港,厦门,1563
3742,钦州,日照,1525
1749,新港,泉州,1503
3864,锦州,宁波,1493
1662,扬州,营口,1488
107,上海,营口,1475
3670,连云港,防城,1471
3938,锦州,顺乐,1463
3651,连云港,深圳（大铲湾）,1423
771,唐山,防城,1355
2162,泉州,南庄,1342
1222,宜昌,营口,1312
257,乐从,营口,1311
3838,锦州,乐从,1281
2080,汕头,营口,1272
2730,烟台,营口,1266
956,太仓,虎门,1254
3391,营口,新沙,1241
1747,新港,汕头,1240
1777,新港,钦州,1233
3353,营口,厦门,1218
468,南沙,新港,1211
1762,新港,福清,1210
2546,湛江,新港,1207
67,三水,防城,1190
4279,高明,营口,1190
4268,高明,新港,1179
2679,烟台,上海,1175
1778,新港,铁山,1158
1836,日照,深圳（大铲湾）,1151
721,唐山,南沙,1145
1750,新港,海口,1145
812,四会,防城,1136
2346,海口,太仓,1122
1339,小铲滩,宁波,1117
3447,营口,阳江,1114
2853,盘锦,马尾,1105
4403,黄骅,小铲滩,1098
2348,海口,威海,1087
3763,钦州,连云港,1085
716,唐山,乐从,1083
1495,张家口,泉州,1083
3757,钦州,盘锦,1083
476,南沙,营口,1054
3720,钦州,上海,1039
1691,新沙,梧州（李家庄）,1034
3286,荆州,营口,1032
1034,宁德,鹤山,1029
311,云浮,曹妃甸,967
1729,新港,小铲滩,959
2757,珠海（高栏）,太仓,957
1973,梧州（李家庄）,日照,954
3458,营口,黄埔旧港,919
2687,烟台,南沙,913
2376,海口,长兴,897
1754,新港,湛江,887
2905,福清,九江（顺德）,884
2331,洋浦港,黄埔旧港,883
2482,深圳（大铲湾）,防城,878
3355,营口,台山,875
3363,营口,太仓,873
3455,营口,鸦岗,862
3334,营口,东江仓,856
3339,营口,乐从,855
3365,营口,威海,852
2320,洋浦港,新港,851
2528,湛江,南昌,845
1719,新港,四会,838
3412,营口,湛江,828
3352,营口,博罗,819
3803,铁山,芜湖,815
3765,钦州,锦州,813
429,南庄,营口,809
1338,小铲滩,太仓,808
2184,泉州,新港,808
3846,锦州,南沙,803
3450,营口,顺德新港,794
2548,湛江,武汉,790
3693,重庆,太仓,783
4061,阳江,宁波,783
1845,日照,福清,777
3739,钦州,张家港,774
3721,钦州,乍浦,773
3899,锦州,海口,768
548,厦门,乍浦,766
3481,董家口,铁山,758
4388,黄骅,南沙,754
3741,钦州,新港,744
2360,海口,泉州,741
1784,新港,顺乐,737
3445,营口,长沙,735
605,厦门,重庆,730
3930,锦州,钦州,728
3366,营口,宁德,721
3896,锦州,泉州,706
3849,锦州,博罗,703
1098,安吉,上海,701
4115,青岛,深圳（大铲湾）,700
4269,高明,日照,693
3393,营口,日照,692
3398,营口,武汉,691
3761,钦州,营口,691
4154,顺乐,新港,681
3923,锦州,虎门,676
3523,虎门,防城,675
528,博罗,新港,662
3834,锦州,上海,660
2547,湛江,日照,655
4321,鸦岗,营口,646
1793,新港,黄埔旧港,644
3750,钦州,洋浦港,643
210,丹东,青岛,641
3771,钦州,黄骅,633
3920,锦州,花都（炭步）,624
4375,黄骅,三水,624
3571,贵港,海口,623
3430,营口,莱州,620
2327,洋浦港,铁山,614
2841,盘锦,漳州,614
760,唐山,花都巴江,612
4343,鹤山,营口,611
3427,营口,花都（炭步）,610
1799,日照,东江仓,609
3434,营口,贵港,608
3404,营口,泸州,607
3957,镇江,宜宾,606
733,唐山,小榄,602
2542,湛江,岳阳,601
4417,黄骅,清远清新,601
3397,营口,武林,597
1819,日照,宁德,586
3077,紫金村,日照,581
3852,锦州,台山,579
1766,新港,肇庆（三榕）,576
1987,梧州（李家庄）,营口,576
2539,湛江,宁波,575
1694,新港,三水,573
4090,青岛,厦门,568
746,唐山,深圳（大铲湾）,564
466,南沙,宁波,562
767,唐山,钦州,559
1323,小榄,营口,559
3668,连云港,钦州,559
3751,钦州,海口,554
