WBL_AUD_DT,AMT
2019/9/14,721.35
2019/9/15,721.35
2019/9/16,721.35
2019/9/17,309.0357367
2019/9/18,-103.2785266
2019/9/19,668.85
2019/9/20,616.35
2019/9/21,563.85
2019/9/22,511.35
2019/9/23,458.85
2019/9/24,511.35
2019/9/25,458.85
2019/9/26,511.35
2019/9/27,511.35
2019/9/28,511.35
2019/9/29,476.35
2019/9/30,12.705
2019/10/1,39.47315217
2019/10/2,66.24130435
2019/10/3,262.5456522
2019/10/4,458.85
2019/10/5,458.85
2019/10/6,458.85
2019/10/7,458.85
2019/10/8,480.9
2019/10/9,511.35
2019/10/10,458.85
2019/10/11,584.85
2019/10/12,710.85
2019/10/13,710.85
2019/10/14,605.85
2019/10/15,605.85
2019/10/16,500.85
2019/10/17,458.85
2019/10/18,448.35
2019/10/19,448.35
2019/10/20,137.0433246
2019/10/21,137.043
2019/10/22,-174.2633508
2019/10/23,455.7
2019/10/24,335.16
2019/10/25,214.62
