WBL_AUD_DT,deals
2019/9/14,2
2019/9/15,7
2019/9/16,2
2019/9/17,0
2019/9/18,638
2019/9/19,16
2019/9/20,5
2019/9/21,0
2019/9/22,5
2019/9/23,5
2019/9/24,19
2019/9/25,4
2019/9/26,11
2019/9/27,4
2019/9/28,13
2019/9/29,6
2019/9/30,200
2019/10/1,0
2019/10/2,23
2019/10/3,0
2019/10/4,6
2019/10/5,2
2019/10/6,6
2019/10/7,3
2019/10/8,6
2019/10/9,7
2019/10/10,8
2019/10/11,0
2019/10/12,2
2019/10/13,30
2019/10/14,0
2019/10/15,0
2019/10/16,17
2019/10/17,33
2019/10/18,2
2019/10/19,1
2019/10/20,0
2019/10/21,0
2019/10/22,573
2019/10/23,4
2019/10/24,0
2019/10/25,5
