WBL_AUD_DT,AMT
2019/9/19,1834.35
2019/9/20,1985.35
2019/9/21,1934.1
2019/9/22,1934.1
2019/9/23,1934.1
2019/9/24,1934.1
2019/9/25,1934.1
2019/9/26,1946.073684
2019/9/27,1938.114706
2019/9/28,1939.155556
2019/9/29,1954.696154
2019/9/30,1956.49557
2019/10/1,1960.35
2019/10/2,1948.35
2019/10/3,1943.85
2019/10/4,1939.35
2019/10/5,1939.35
2019/10/6,1939.35
2019/10/7,1951.552703
2019/10/8,1939.35
2019/10/9,1944.291176
2019/10/10,1824.914266
2019/10/11,1821.75
2019/10/12,1821.75
2019/10/13,1821.75
2019/10/14,1821.75
2019/10/15,1821.75
2019/10/16,1816.608808
2019/10/17,1823.08134
2019/10/18,1816.5
2019/10/19,1816.5
2019/10/20,1816.5
2019/10/21,1816.5
2019/10/22,1831.274336
2019/10/23,1963.012168
2019/10/24,2094.75
2019/10/25,2094.75
2019/10/26,2094.75
