WBL_AUD_DT,deals
2019/9/19,243
2019/9/20,21
2019/9/21,45
2019/9/22,309
2019/9/23,54
2019/9/24,55
2019/9/25,76
2019/9/26,57
2019/9/27,187
2019/9/28,54
2019/9/29,52
2019/9/30,158
2019/10/1,69
2019/10/2,35
2019/10/3,0
2019/10/4,49
2019/10/5,160
2019/10/6,67
2019/10/7,74
2019/10/8,30
2019/10/9,17
2019/10/10,736
2019/10/11,84
2019/10/12,45
2019/10/13,18
2019/10/14,254
2019/10/15,179
2019/10/16,386
2019/10/17,209
2019/10/18,363
2019/10/19,73
2019/10/20,0
2019/10/21,64
2019/10/22,226
2019/10/23,0
2019/10/24,2
2019/10/25,0
2019/10/26,2
