WBL_AUD_DT,AMT
2019/9/20,1732.5
2019/9/21,1995
2019/9/22,1995
2019/9/23,1995
2019/9/24,1995
2019/9/25,1995
2019/9/26,2257.5
2019/9/27,1682.565916
2019/9/28,2079
2019/9/29,1993.284507
2019/9/30,2006.55
2019/10/1,1997.652632
2019/10/2,1982.4
2019/10/3,1982.4
2019/10/4,1982.4
2019/10/5,2053.8
2019/10/6,2160.9
2019/10/7,2160.9
2019/10/8,2037
2019/10/9,2082.054545
2019/10/10,2450.942308
2019/10/11,1825.556604
2019/10/12,2305.434783
2019/10/13,2520
2019/10/14,2268
2019/10/15,2126.350873
2019/10/16,2139.657692
2019/10/17,2173.216667
2019/10/18,2264.85
2019/10/19,2317.875
2019/10/20,2370.9
2019/10/21,2246.838462
2019/10/22,2236.5
2019/10/23,2038.298684
2019/10/24,2185.792683
2019/10/25,2223.9
2019/10/26,2362.5
2019/10/27,2436
