WBL_AUD_DT,deals
2019/9/20,14
2019/9/21,0
2019/9/22,0
2019/9/23,0
2019/9/24,0
2019/9/25,0
2019/9/26,38
2019/9/27,311
2019/9/28,25
2019/9/29,71
2019/9/30,16
2019/10/1,19
2019/10/2,18
2019/10/3,27
2019/10/4,10
2019/10/5,15
2019/10/6,10
2019/10/7,22
2019/10/8,138
2019/10/9,33
2019/10/10,26
2019/10/11,371
2019/10/12,23
2019/10/13,16
2019/10/14,19
2019/10/15,229
2019/10/16,65
2019/10/17,63
2019/10/18,30
2019/10/19,0
2019/10/20,1
2019/10/21,26
2019/10/22,13
2019/10/23,456
2019/10/24,82
2019/10/25,15
2019/10/26,4
2019/10/27,4
